STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP_MM,TMAX_10THC,TMIN_10THC,AWND_MTRSPERSEC,CASUAL,REGISTERED ,TTLCNT
USW00003978,2/19/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",5,11,-171,12,218,1897,2115
USW00003978,2/20/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,83,-93,28,259,2216,2475
USW00003978,2/21/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,72,17,44,579,2348,2927
USW00003978,2/22/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,144,-43,31,532,1103,1635
USW00003978,2/23/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,222,17,37,639,1173,1812
USW00003978,2/25/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,117,-10,0,195,912,1107
USW00003978,2/26/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",8,78,33,29,74,1376,1450
USW00003978,2/27/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",10,144,11,29,139,1778,1917
USW00003978,2/28/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,183,50,49,100,1707,1807
USW00003978,3/1/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,133,-16,28,120,1341,1461
USW00003978,3/2/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,139,-10,21,424,1545,1969
USW00003978,3/3/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,189,11,24,694,1708,2402
USW00003978,3/4/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,217,22,25,81,1365,1446
USW00003978,3/5/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",23,139,17,37,137,1714,1851
USW00003978,3/6/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,156,-27,11,231,1903,2134
USW00003978,3/7/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,178,17,30,123,1562,1685
USW00003978,3/8/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,189,44,38,214,1730,1944
USW00003978,3/9/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,200,111,56,640,1437,2077
USW00003978,3/10/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,200,156,71,114,491,605
USW00003978,3/11/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",13,206,111,45,244,1628,1872
USW00003978,3/12/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",122,172,94,38,316,1817,2133
USW00003978,3/13/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",208,200,89,46,191,1700,1891
USW00003978,3/14/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",5,183,83,46,46,577,623
USW00003978,3/15/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",5,194,67,45,247,1730,1977
USW00003978,3/16/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,239,44,31,724,1408,2132
USW00003978,3/17/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",56,228,39,49,982,1435,2417
USW00003978,3/18/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",8,56,6,61,359,1687,2046
USW00003978,3/19/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,156,22,44,289,1767,2056
USW00003978,3/20/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,167,11,32,321,1871,2192
USW00003978,3/21/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,200,50,46,424,2320,2744
USW00003978,3/22/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",18,167,89,51,884,2355,3239
USW00003978,3/23/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",64,139,89,56,1424,1693,3117
USW00003978,3/24/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,161,44,29,1047,1424,2471
USW00003978,3/25/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",208,128,44,28,401,1676,2077
USW00003978,3/26/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,217,28,29,460,2243,2703
USW00003978,3/27/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",8,250,111,48,203,1918,2121
USW00003978,3/28/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,156,56,38,166,1699,1865
USW00003978,3/29/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,211,39,51,300,1910,2210
USW00003978,3/30/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,211,106,60,981,1515,2496
USW00003978,3/31/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,139,33,47,472,1221,1693
USW00003978,4/1/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,128,-5,26,222,1806,2028
USW00003978,4/2/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,183,11,38,317,2108,2425
USW00003978,4/3/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,200,56,35,168,1368,1536
USW00003978,4/4/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,228,78,30,179,1506,1685
USW00003978,4/5/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,239,111,41,307,1920,2227
USW00003978,4/6/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,233,144,59,898,1354,2252
USW00003978,4/7/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",13,200,89,60,1651,1598,3249
USW00003978,4/8/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,217,78,54,734,2381,3115
USW00003978,4/9/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",13,261,122,38,167,1628,1795
USW00003978,4/10/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",5,150,61,47,413,2395,2808
USW00003978,4/11/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,244,39,30,571,2570,3141
USW00003978,4/12/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,217,106,44,172,1299,1471
USW00003978,4/13/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",13,183,83,49,879,1576,2455
USW00003978,4/14/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",28,178,78,38,1188,1707,2895
USW00003978,4/15/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,161,67,30,855,2493,3348
USW00003978,4/16/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",25,117,83,22,257,1777,2034
USW00003978,4/17/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",10,106,56,28,209,1953,2162
USW00003978,4/18/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,150,44,26,529,2738,3267
USW00003978,4/19/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,206,28,27,642,2484,3126
USW00003978,4/20/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,100,-16,38,121,674,795
USW00003978,4/21/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,122,-32,29,1558,2186,3744
USW00003978,4/24/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,183,83,33,669,2760,3429
USW00003978,4/25/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,239,61,40,409,2795,3204
USW00003978,4/26/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,283,150,57,613,3331,3944
USW00003978,4/27/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,233,183,43,745,3444,4189
USW00003978,4/28/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",851,217,172,29,177,1506,1683
USW00003978,4/29/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,228,128,34,1462,2574,4036
USW00003978,4/30/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,261,89,7,1710,2481,4191
USW00003978,5/1/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,256,117,31,773,3300,4073
USW00003978,5/2/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,211,150,31,678,3722,4400
USW00003978,5/3/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,256,133,30,547,3325,3872
USW00003978,5/4/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",84,161,67,36,569,3489,4058
USW00003978,5/5/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,211,44,13,878,3717,4595
USW00003978,5/6/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,222,83,32,1965,3347,5312
USW00003978,5/7/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,167,56,25,1138,2213,3351
USW00003978,5/8/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,272,133,54,847,3554,4401
USW00003978,5/9/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,233,100,51,603,3848,4451
USW00003978,5/10/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,167,89,35,255,2378,2633
USW00003978,5/11/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,150,78,38,614,3819,4433
USW00003978,5/12/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,194,89,36,894,3714,4608
USW00003978,5/13/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,200,106,23,1612,3102,4714
USW00003978,5/14/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,217,89,32,1401,2932,4333
USW00003978,5/15/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,222,122,23,664,3698,4362
USW00003978,5/16/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,244,,33,694,4109,4803
USW00003978,5/17/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,244,178,30,550,3632,4182
USW00003978,5/18/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,256,156,36,695,4169,4864
USW00003978,5/19/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",15,222,172,43,692,3413,4105
USW00003978,5/20/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",15,222,189,44,902,2507,3409
USW00003978,5/21/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",208,206,178,46,1582,2971,4553
USW00003978,5/22/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",25,261,183,30,773,3185,3958
USW00003978,5/23/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,283,189,24,678,3445,4123
USW00003978,5/24/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,256,178,23,536,3319,3855
USW00003978,5/25/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",127,228,183,29,735,3840,4575
USW00003978,5/26/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,283,172,21,909,4008,4917
USW00003978,5/27/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",325,278,172,41,2258,3547,5805
USW00003978,5/28/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,211,106,36,1576,3084,4660
USW00003978,5/29/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,178,100,41,836,3438,4274
USW00003978,5/30/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,222,100,25,659,3833,4492
USW00003978,5/31/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",91,200,111,27,740,4238,4978
USW00003978,6/1/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",183,167,133,34,758,3919,4677
USW00003978,6/2/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,200,144,19,871,3808,4679
USW00003978,6/3/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,261,117,10,2001,2757,4758
USW00003978,6/4/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,283,139,16,2355,2433,4788
USW00003978,6/5/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,272,156,28,1549,2549,4098
USW00003978,6/6/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",231,272,189,26,673,,3982
USW00003978,6/7/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",89,244,178,30,513,3461,3974
USW00003978,6/8/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,300,194,16,736,4232,4968
USW00003978,6/9/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",119,322,200,14,898,4414,5312
USW00003978,6/10/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,328,228,15,1869,3473,5342
USW00003978,6/11/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,322,222,30,1685,3221,4906
USW00003978,6/12/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,339,239,27,673,3875,4548
USW00003978,6/13/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,317,211,30,763,4070,4833
USW00003978,6/14/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,328,178,14,676,3725,4401
USW00003978,6/15/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,339,189,12,563,3352,3915
USW00003978,6/16/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,339,211,15,815,3771,4586
USW00003978,6/17/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,344,233,21,1729,3237,4966
USW00003978,6/18/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,339,233,36,1467,2993,4460
USW00003978,6/19/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,311,211,26,863,4157,5020
USW00003978,6/20/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,322,211,45,727,4164,4891
USW00003978,6/21/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",183,256,150,32,769,4411,5180
USW00003978,6/22/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,272,128,17,545,3222,3767
USW00003978,6/23/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,294,150,40,863,3981,4844
USW00003978,6/24/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,322,228,47,1807,3312,5119
USW00003978,6/25/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,328,250,46,1639,3105,4744
USW00003978,6/26/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",5,283,217,42,699,3311,4010
USW00003978,6/27/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,289,200,31,774,4061,4835
USW00003978,6/28/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,294,211,26,661,3846,4507
USW00003978,6/29/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,311,211,17,746,4044,4790
USW00003978,6/30/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,294,222,18,969,4022,4991
USW00003978,7/1/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,267,222,24,1782,3420,5202
USW00003978,7/2/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,283,194,32,1920,3385,5305
USW00003978,7/3/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,294,172,14,854,3854,4708
USW00003978,7/4/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,294,189,19,732,3916,4648
USW00003978,7/5/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,289,183,22,848,4377,5225
USW00003978,7/6/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,306,189,16,1027,4488,5515
USW00003978,7/7/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,322,206,20,1246,4116,5362
USW00003978,7/8/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,322,217,14,2204,2915,5119
USW00003978,7/9/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,322,228,34,2282,2367,4649
USW00003978,7/10/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,294,206,38,3065,2978,6043
USW00003978,7/11/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,261,189,30,1031,3634,4665
USW00003978,7/12/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,244,172,18,784,3845,4629
USW00003978,7/13/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,306,167,23,754,3838,4592
USW00003978,7/14/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,317,211,38,692,3348,4040
USW00003978,7/15/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,317,228,42,1988,3348,5336
USW00003978,7/16/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",378,283,183,31,1743,3138,4881
USW00003978,7/17/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",376,306,206,28,723,3363,4086
USW00003978,7/18/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",30,306,206,23,662,3596,4258
USW00003978,7/19/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",3,300,206,30,748,3594,4342
USW00003978,7/20/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,283,189,31,888,4196,5084
USW00003978,7/21/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,294,183,16,1318,4220,5538
USW00003978,7/22/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,311,211,20,2418,3505,5923
USW00003978,7/23/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,322,217,26,2006,3296,5302
USW00003978,7/24/2021,36.35,-94.21667,395,"BENTONVILLE MUNICIPAL AIRPORT, AR US",0,333,233,25,841,3617,4458
